DATE;CDI_TAX
1986-03-06;0.068111
1986-03-10;0.069028
1986-03-12;0.067417
1986-03-14;0.064584
1986-03-17;0.068222
1986-03-18;0.066528
1986-03-19;0.06575
1986-03-20;0.06464
1986-03-21;0.06542
1986-03-24;0.0655
1986-03-25;0.06625
1986-03-26;0.06625
1986-03-31;0.06692
1986-04-01;0.06481
1986-04-02;0.06483
1986-04-03;0.06561
1986-04-04;0.06542
1986-04-07;0.06564
1986-04-08;0.06508
1986-04-09;0.06508
1986-04-10;0.06483
1986-04-11;0.06475
1986-04-14;0.06475
1986-04-15;0.06417
1986-04-16;0.06486
1986-04-17;0.06497
1986-04-18;0.064
1986-04-22;0.06464
1986-04-23;0.06483
1986-04-24;0.06469
1986-04-25;0.06442
1986-04-28;0.06481
1986-04-29;0.065
1986-04-30;0.06456
1986-05-02;0.06483
1986-05-05;0.06528
1986-05-06;0.06575
1986-05-07;0.06564
1986-05-08;0.06536
1986-05-09;0.06517
1986-05-12;0.06564
1986-05-13;0.06544
1986-05-14;0.06578
1986-05-15;0.06572
1986-05-16;0.06542
1986-05-19;0.06564
1986-05-20;0.06536
1986-05-21;0.06539
1986-05-22;0.06542
1986-05-23;0.06522
1986-05-27;0.06519
1986-05-28;0.06575
1986-05-29;0.06711
1986-05-30;0.06767
1986-06-02;0.06847
1986-06-03;0.06947
1986-06-04;0.07156
1986-06-05;0.07314
1986-06-06;0.07358
1986-06-09;0.07522
1986-06-10;0.07481
1986-06-11;0.07386
1986-06-12;0.07269
1986-06-13;0.07367
1986-06-16;0.07375
1986-06-17;0.07411
1986-06-18;0.07483
1986-06-19;0.07522
1986-06-20;0.07417
1986-06-23;0.07556
1986-06-24;0.07614
1986-06-25;0.07567
1986-06-26;0.07636
1986-06-27;0.07617
1986-06-30;0.07683
1986-07-01;0.07669
1986-07-02;0.07817
1986-07-03;0.08375
1986-07-04;0.0935
1986-07-07;0.09569
1986-07-08;0.09536
1986-07-09;0.09614
1986-07-10;0.09694
1986-07-11;0.09667
1986-07-14;0.09631
1986-07-15;0.09606
1986-07-16;0.09636
1986-07-17;0.09664
1986-07-18;0.09642
1986-07-21;0.09653
